id,name,score1,score2
310,Student_310,86,91
311,Student_311,73,77
312,Student_312,86,56
313,Student_313,75,81
314,Student_314,60,52
315,Student_315,68,66
316,Student_316,89,60
317,Student_317,79,64
318,Student_318,82,89
319,Student_319,56,98
320,Student_320,62,69
321,Student_321,70,92
322,Student_322,65,86
323,Student_323,72,73
324,Student_324,71,87
325,Student_325,87,62
326,Student_326,51,72
327,Student_327,61,66
328,Student_328,50,91
329,Student_329,55,79
330,Student_330,55,53
331,Student_331,64,71
332,Student_332,62,71
333,Student_333,87,91
334,Student_334,64,89
335,Student_335,65,78
336,Student_336,51,60
337,Student_337,94,60
338,Student_338,67,78
339,Student_339,82,96
340,Student_340,81,93
341,Student_341,65,86
342,Student_342,98,95
343,Student_343,54,81
344,Student_344,72,68
345,Student_345,51,63
346,Student_346,77,62
347,Student_347,86,86
348,Student_348,54,94
349,Student_349,99,51
350,Student_350,55,62
351,Student_351,51,61
352,Student_352,57,85
353,Student_353,97,72
354,Student_354,89,83
355,Student_355,71,53
356,Student_356,59,98
357,Student_357,85,90
358,Student_358,94,100
359,Student_359,63,69
360,Student_360,95,77
361,Student_361,75,59
362,Student_362,91,99
363,Student_363,58,52
364,Student_364,64,88
365,Student_365,90,71
366,Student_366,96,81
367,Student_367,50,96
368,Student_368,84,52
369,Student_369,57,77
370,Student_370,59,65
371,Student_371,75,83
372,Student_372,60,79
373,Student_373,98,74
374,Student_374,91,93
375,Student_375,52,98
376,Student_376,94,50
377,Student_377,92,66
378,Student_378,100,95
379,Student_379,67,68
380,Student_380,90,60
381,Student_381,82,96
382,Student_382,71,63
383,Student_383,50,77
384,Student_384,51,73
385,Student_385,97,79
386,Student_386,95,89
387,Student_387,59,72
388,Student_388,57,82
389,Student_389,78,64
390,Student_390,66,81
391,Student_391,78,64
392,Student_392,75,100
393,Student_393,74,80
394,Student_394,65,91
395,Student_395,96,78
396,Student_396,73,74
397,Student_397,77,94
398,Student_398,77,95
399,Student_399,75,60
400,Student_400,54,87
401,Student_401,66,94
402,Student_402,79,57
403,Student_403,94,74
404,Student_404,53,86
405,Student_405,70,68
406,Student_406,90,71
407,Student_407,68,81
408,Student_408,63,66
409,Student_409,80,69
410,Student_410,82,92
411,Student_411,85,62
412,Student_412,55,51
413,Student_413,55,76
414,Student_414,76,60
415,Student_415,78,57
416,Student_416,81,93
417,Student_417,93,64
418,Student_418,70,71
419,Student_419,70,98
420,Student_420,79,76
421,Student_421,68,63
422,Student_422,64,57
423,Student_423,78,95
424,Student_424,66,96
425,Student_425,54,75
426,Student_426,51,98
427,Student_427,98,55
428,Student_428,63,70
429,Student_429,100,93
430,Student_430,93,89
431,Student_431,56,53
432,Student_432,56,65
433,Student_433,86,89
434,Student_434,96,55
435,Student_435,72,93
436,Student_436,70,90
437,Student_437,91,86
438,Student_438,90,51
439,Student_439,68,94
440,Student_440,78,59
441,Student_441,88,93
442,Student_442,89,50
443,Student_443,77,85
444,Student_444,67,53
445,Student_445,80,56
446,Student_446,80,91
447,Student_447,76,77
448,Student_448,52,72
449,Student_449,94,51
450,Student_450,76,54
451,Student_451,79,73
452,Student_452,85,68
453,Student_453,70,76
454,Student_454,53,75
455,Student_455,95,92
456,Student_456,95,63
457,Student_457,98,53
458,Student_458,61,79
459,Student_459,72,78
460,Student_460,88,52
461,Student_461,53,59
462,Student_462,64,80
463,Student_463,54,90
464,Student_464,59,52
465,Student_465,60,64
466,Student_466,85,71
467,Student_467,67,72
468,Student_468,97,54
469,Student_469,99,83
470,Student_470,54,55
471,Student_471,100,99
472,Student_472,93,81
473,Student_473,78,51
474,Student_474,53,75
475,Student_475,70,86
476,Student_476,82,59
477,Student_477,81,78
478,Student_478,70,92
479,Student_479,87,51
480,Student_480,98,97
481,Student_481,100,100
482,Student_482,86,64
483,Student_483,96,81
484,Student_484,81,75
485,Student_485,73,56
486,Student_486,70,83
487,Student_487,100,67
488,Student_488,79,87
489,Student_489,51,60
490,Student_490,66,63
491,Student_491,82,83
492,Student_492,73,55
493,Student_493,88,93
494,Student_494,54,77
495,Student_495,89,88
496,Student_496,54,64
497,Student_497,81,60
498,Student_498,61,75
499,Student_499,71,99
500,Student_500,99,73
501,Student_501,55,78
502,Student_502,53,76
503,Student_503,75,83
504,Student_504,69,85
505,Student_505,78,95
506,Student_506,54,56
507,Student_507,82,98
508,Student_508,70,81
509,Student_509,95,62
510,Student_510,60,66
511,Student_511,56,85
512,Student_512,64,69
513,Student_513,67,90
514,Student_514,61,94
515,Student_515,55,52
516,Student_516,77,72
517,Student_517,77,58
518,Student_518,64,81
519,Student_519,72,94
520,Student_520,59,64
521,Student_521,96,85
522,Student_522,78,78
523,Student_523,74,52
524,Student_524,56,62
525,Student_525,58,93
526,Student_526,95,82
527,Student_527,63,83
528,Student_528,89,74
529,Student_529,58,79
530,Student_530,95,89
531,Student_531,68,54
532,Student_532,65,50
533,Student_533,79,73
534,Student_534,51,63
535,Student_535,66,60
536,Student_536,62,93
537,Student_537,94,55
538,Student_538,62,54
539,Student_539,87,88
540,Student_540,79,63
541,Student_541,88,95
542,Student_542,65,76
543,Student_543,90,68
544,Student_544,71,89
545,Student_545,66,73
546,Student_546,84,54
547,Student_547,62,80
548,Student_548,87,86
549,Student_549,96,64
550,Student_550,64,85
551,Student_551,63,51
552,Student_552,66,53
553,Student_553,79,75
554,Student_554,78,72
555,Student_555,58,91
556,Student_556,92,79
557,Student_557,53,53
558,Student_558,69,81
559,Student_559,100,81
560,Student_560,54,83
561,Student_561,98,83
562,Student_562,69,79
563,Student_563,82,76
564,Student_564,62,91
565,Student_565,87,59
566,Student_566,96,55
567,Student_567,70,57
568,Student_568,92,51
569,Student_569,80,71
570,Student_570,100,52
571,Student_571,94,62
572,Student_572,87,81
573,Student_573,96,69
574,Student_574,74,83
575,Student_575,58,57
576,Student_576,69,68
577,Student_577,97,88
578,Student_578,56,82
579,Student_579,91,83
580,Student_580,70,65
581,Student_581,98,54
582,Student_582,50,64
583,Student_583,95,52
584,Student_584,96,100
585,Student_585,53,54
586,Student_586,65,83
587,Student_587,63,77
588,Student_588,67,78
589,Student_589,50,64
590,Student_590,67,60
591,Student_591,75,62
592,Student_592,52,84
593,Student_593,76,62
594,Student_594,96,76
595,Student_595,66,62
596,Student_596,74,71
597,Student_597,51,74
598,Student_598,82,95
599,Student_599,78,90
600,Student_600,95,63
601,Student_601,51,93
602,Student_602,75,74
603,Student_603,56,86
604,Student_604,99,93
605,Student_605,99,70
606,Student_606,84,91
607,Student_607,72,64
608,Student_608,87,79
609,Student_609,91,52
610,Student_610,57,65
611,Student_611,97,100
612,Student_612,57,70
613,Student_613,64,84
614,Student_614,57,63
615,Student_615,81,79
616,Student_616,75,78
617,Student_617,67,91
618,Student_618,76,82
619,Student_619,85,94
620,Student_620,95,64
621,Student_621,81,99
622,Student_622,83,72
623,Student_623,64,51
624,Student_624,90,72
625,Student_625,52,52
626,Student_626,67,50
627,Student_627,78,96
628,Student_628,79,87
629,Student_629,54,81
630,Student_630,57,84
631,Student_631,60,94
632,Student_632,72,60
633,Student_633,97,93
634,Student_634,56,81
635,Student_635,51,52
636,Student_636,77,86
637,Student_637,85,80
638,Student_638,87,85
639,Student_639,71,62
640,Student_640,88,94
641,Student_641,67,79
642,Student_642,51,97
643,Student_643,51,90
644,Student_644,75,69
645,Student_645,98,63
646,Student_646,83,97
647,Student_647,98,66
648,Student_648,56,68
649,Student_649,53,77
650,Student_650,50,52
651,Student_651,93,79
652,Student_652,78,76
653,Student_653,51,100
654,Student_654,56,96
655,Student_655,73,94
656,Student_656,100,98
657,Student_657,70,83
658,Student_658,60,86
659,Student_659,60,66
660,Student_660,83,95
661,Student_661,82,51
662,Student_662,82,51
663,Student_663,50,91
664,Student_664,88,50
665,Student_665,99,55
666,Student_666,71,90
667,Student_667,97,92
668,Student_668,94,95
669,Student_669,93,55
670,Student_670,66,79
671,Student_671,60,83
672,Student_672,68,71
673,Student_673,85,94
674,Student_674,77,55
675,Student_675,72,58
676,Student_676,64,89
677,Student_677,76,77
678,Student_678,59,76
679,Student_679,50,76
680,Student_680,68,83
681,Student_681,84,85
682,Student_682,86,60
683,Student_683,99,84
684,Student_684,94,97
685,Student_685,95,60
686,Student_686,81,86
687,Student_687,96,83
688,Student_688,66,78
689,Student_689,54,83
690,Student_690,100,95
691,Student_691,85,72
692,Student_692,67,57
693,Student_693,97,81
694,Student_694,68,52
695,Student_695,79,69
696,Student_696,92,52
697,Student_697,89,88
698,Student_698,89,99
699,Student_699,86,54
700,Student_700,95,73
701,Student_701,56,52
702,Student_702,55,58
703,Student_703,77,56
704,Student_704,87,55
705,Student_705,75,80
706,Student_706,85,94
707,Student_707,57,65
708,Student_708,84,87
709,Student_709,98,93
710,Student_710,73,82
711,Student_711,64,55
712,Student_712,51,66
713,Student_713,72,67
714,Student_714,99,55
715,Student_715,90,80
716,Student_716,90,53
717,Student_717,85,67
718,Student_718,88,51
719,Student_719,52,64
720,Student_720,74,79
721,Student_721,98,69
722,Student_722,59,79
723,Student_723,82,88
724,Student_724,58,69
725,Student_725,81,68
726,Student_726,83,68
727,Student_727,69,50
728,Student_728,62,100
729,Student_729,62,77
730,Student_730,50,78
731,Student_731,71,89
732,Student_732,63,66
733,Student_733,54,54
734,Student_734,96,66
735,Student_735,62,72
736,Student_736,77,74
737,Student_737,88,52
738,Student_738,56,75
739,Student_739,93,90
740,Student_740,93,63
741,Student_741,88,96
742,Student_742,66,66
743,Student_743,73,93
744,Student_744,57,52
745,Student_745,75,54
746,Student_746,56,80
747,Student_747,58,70
748,Student_748,87,64
749,Student_749,53,69
750,Student_750,55,54
751,Student_751,73,74
752,Student_752,50,82
753,Student_753,95,76
754,Student_754,80,65
755,Student_755,85,62
756,Student_756,71,52
757,Student_757,92,82
758,Student_758,71,68
759,Student_759,75,62
760,Student_760,79,92
761,Student_761,93,84
762,Student_762,51,72
763,Student_763,60,85
764,Student_764,76,79
765,Student_765,94,84
766,Student_766,57,88
767,Student_767,71,59
768,Student_768,88,94
769,Student_769,52,94
770,Student_770,64,75
771,Student_771,67,59
772,Student_772,91,58
773,Student_773,68,81
774,Student_774,81,50
775,Student_775,64,94
776,Student_776,76,68
777,Student_777,82,84
778,Student_778,65,78
779,Student_779,79,89
780,Student_780,89,77
781,Student_781,86,96
782,Student_782,66,69
783,Student_783,73,88
784,Student_784,95,73
785,Student_785,76,65
786,Student_786,78,72
787,Student_787,71,66
788,Student_788,82,58
789,Student_789,77,81
790,Student_790,73,52
791,Student_791,53,64
792,Student_792,57,68
793,Student_793,71,97
794,Student_794,78,86
795,Student_795,75,63
796,Student_796,80,58
797,Student_797,80,69
798,Student_798,80,75
799,Student_799,74,87
800,Student_800,84,73
801,Student_801,58,62
802,Student_802,64,59
803,Student_803,55,96
804,Student_804,88,77
805,Student_805,79,97
806,Student_806,94,89
807,Student_807,90,84
808,Student_808,72,59
809,Student_809,93,74
810,Student_810,78,78
811,Student_811,63,85
812,Student_812,86,85
813,Student_813,73,79
814,Student_814,75,88
815,Student_815,98,60
816,Student_816,96,62
817,Student_817,75,76
818,Student_818,88,95
819,Student_819,58,57
820,Student_820,91,87
821,Student_821,82,51
822,Student_822,77,76
823,Student_823,63,98
824,Student_824,100,72
825,Student_825,74,98
826,Student_826,86,69
827,Student_827,91,95
828,Student_828,89,64
829,Student_829,71,67
830,Student_830,91,75
831,Student_831,57,89
832,Student_832,56,88
833,Student_833,70,68
834,Student_834,75,57
835,Student_835,60,88
836,Student_836,66,59
837,Student_837,68,55
838,Student_838,100,63
839,Student_839,66,84
840,Student_840,61,55
841,Student_841,90,72
842,Student_842,76,77
843,Student_843,82,68
844,Student_844,61,98
845,Student_845,68,66
846,Student_846,63,65
847,Student_847,91,52
848,Student_848,68,60
849,Student_849,81,95
850,Student_850,92,51
851,Student_851,61,80
852,Student_852,81,95
853,Student_853,70,77
854,Student_854,82,64
855,Student_855,60,63
856,Student_856,57,80
857,Student_857,63,61
858,Student_858,50,83
859,Student_859,69,82
860,Student_860,53,91
861,Student_861,96,54
862,Student_862,93,89
863,Student_863,51,87
864,Student_864,76,77
865,Student_865,80,55
866,Student_866,63,83
867,Student_867,74,68
868,Student_868,51,58
869,Student_869,100,73
870,Student_870,72,92
871,Student_871,98,70
872,Student_872,78,79
873,Student_873,89,86
874,Student_874,63,56
875,Student_875,66,99
876,Student_876,59,72
877,Student_877,82,77
878,Student_878,73,95
879,Student_879,93,86
880,Student_880,72,76
881,Student_881,75,91
882,Student_882,69,97
883,Student_883,91,70
884,Student_884,76,72
885,Student_885,98,50
886,Student_886,72,85
887,Student_887,68,66
888,Student_888,72,55
889,Student_889,99,51
890,Student_890,71,81
891,Student_891,55,51
892,Student_892,55,52
893,Student_893,66,50
894,Student_894,92,95
895,Student_895,83,50
896,Student_896,69,65
897,Student_897,51,95
898,Student_898,93,72
899,Student_899,56,88
900,Student_900,77,99
901,Student_901,89,82
902,Student_902,62,92
903,Student_903,85,86
904,Student_904,59,78
905,Student_905,95,82
906,Student_906,68,93
907,Student_907,79,62
908,Student_908,85,64
909,Student_909,73,91
910,Student_910,52,99
911,Student_911,88,100
912,Student_912,89,98
913,Student_913,80,83
914,Student_914,92,84
915,Student_915,99,80
916,Student_916,89,56
917,Student_917,96,54
918,Student_918,77,76
919,Student_919,82,84
920,Student_920,74,65
921,Student_921,63,93
922,Student_922,80,92
923,Student_923,86,73
924,Student_924,52,87
925,Student_925,90,81
926,Student_926,93,92
927,Student_927,81,61
928,Student_928,83,81
929,Student_929,56,68
930,Student_930,61,99
931,Student_931,70,97
932,Student_932,83,55
933,Student_933,53,85
934,Student_934,89,63
935,Student_935,54,64
936,Student_936,73,52
937,Student_937,68,57
938,Student_938,81,91
939,Student_939,67,98
940,Student_940,60,95
941,Student_941,85,70
942,Student_942,92,79
943,Student_943,58,52
944,Student_944,94,69
945,Student_945,56,95
946,Student_946,89,72
947,Student_947,71,55
948,Student_948,78,60
949,Student_949,55,58
950,Student_950,77,90
951,Student_951,80,88
952,Student_952,99,53
953,Student_953,100,87
954,Student_954,54,63
955,Student_955,81,65
956,Student_956,95,80
957,Student_957,59,89
958,Student_958,65,52
959,Student_959,78,89
960,Student_960,71,72
961,Student_961,64,90
962,Student_962,76,84
963,Student_963,75,94
964,Student_964,58,52
965,Student_965,83,93
966,Student_966,97,95
967,Student_967,87,68
968,Student_968,61,66
969,Student_969,84,65
970,Student_970,55,65
971,Student_971,71,66
972,Student_972,72,83
973,Student_973,67,86
974,Student_974,82,72
975,Student_975,81,64
976,Student_976,87,89
977,Student_977,90,88
978,Student_978,87,70
979,Student_979,73,81
980,Student_980,58,74
981,Student_981,79,79
982,Student_982,81,84
983,Student_983,68,76
984,Student_984,56,66
985,Student_985,72,58
986,Student_986,74,98
987,Student_987,67,98
988,Student_988,100,73
989,Student_989,93,85
990,Student_990,100,72
991,Student_991,91,77
992,Student_992,82,96
993,Student_993,79,57
994,Student_994,97,99
995,Student_995,86,74
996,Student_996,77,73
997,Student_997,70,99
998,Student_998,94,97
999,Student_999,58,50
1000,Student_1000,50,58
1001,Student_1001,82,87
1002,Student_1002,68,78
1003,Student_1003,55,60
1004,Student_1004,66,64
1005,Student_1005,52,52
1006,Student_1006,94,80
1007,Student_1007,87,56
1008,Student_1008,57,92
1009,Student_1009,89,94
1010,Student_1010,78,55
1011,Student_1011,63,78
1012,Student_1012,78,91
1013,Student_1013,99,80
1014,Student_1014,59,73
1015,Student_1015,76,62
1016,Student_1016,67,78
1017,Student_1017,95,87
1018,Student_1018,56,76
1019,Student_1019,70,50
1020,Student_1020,79,62
1021,Student_1021,97,71
1022,Student_1022,60,60
1023,Student_1023,99,94
1024,Student_1024,79,64
1025,Student_1025,54,79
1026,Student_1026,96,75
1027,Student_1027,67,51
1028,Student_1028,83,81
1029,Student_1029,75,91
1030,Student_1030,81,81
1031,Student_1031,98,51
1032,Student_1032,87,91
1033,Student_1033,99,84
1034,Student_1034,85,52
1035,Student_1035,71,71
1036,Student_1036,73,78
1037,Student_1037,53,64
1038,Student_1038,82,68
1039,Student_1039,70,80
1040,Student_1040,63,72
1041,Student_1041,91,87
1042,Student_1042,52,64
1043,Student_1043,70,64
1044,Student_1044,66,67
1045,Student_1045,84,80
1046,Student_1046,85,57
1047,Student_1047,82,81
1048,Student_1048,75,93
1049,Student_1049,89,57
1050,Student_1050,100,66
1051,Student_1051,88,57
1052,Student_1052,76,96
1053,Student_1053,96,76
1054,Student_1054,61,59
1055,Student_1055,80,60
1056,Student_1056,54,77
1057,Student_1057,89,100
1058,Student_1058,95,82
1059,Student_1059,54,70
1060,Student_1060,74,63
1061,Student_1061,56,94
1062,Student_1062,96,76
1063,Student_1063,88,63
1064,Student_1064,99,53
1065,Student_1065,86,97
1066,Student_1066,69,75
1067,Student_1067,93,96
1068,Student_1068,95,93
1069,Student_1069,94,88
1070,Student_1070,55,88
1071,Student_1071,94,82
1072,Student_1072,58,50
1073,Student_1073,87,99
1074,Student_1074,60,55
1075,Student_1075,68,86
1076,Student_1076,93,57
1077,Student_1077,81,93
1078,Student_1078,92,79
1079,Student_1079,57,95
1080,Student_1080,85,82
1081,Student_1081,70,98
1082,Student_1082,68,50
1083,Student_1083,64,86
1084,Student_1084,69,54
1085,Student_1085,68,51
1086,Student_1086,62,80
1087,Student_1087,85,78
1088,Student_1088,62,82
1089,Student_1089,60,60
1090,Student_1090,78,82
1091,Student_1091,51,66
1092,Student_1092,74,70
1093,Student_1093,94,64
1094,Student_1094,56,50
1095,Student_1095,87,76
1096,Student_1096,69,69
1097,Student_1097,79,69
1098,Student_1098,77,60
1099,Student_1099,67,91
1100,Student_1100,99,93
1101,Student_1101,66,76
1102,Student_1102,91,58
1103,Student_1103,75,67
1104,Student_1104,87,57
1105,Student_1105,54,92
1106,Student_1106,93,80
1107,Student_1107,75,95
1108,Student_1108,83,98
1109,Student_1109,53,60
1110,Student_1110,87,68
1111,Student_1111,61,71
1112,Student_1112,93,67
1113,Student_1113,92,67
1114,Student_1114,100,54
1115,Student_1115,83,55
1116,Student_1116,90,88
1117,Student_1117,62,74
1118,Student_1118,91,95
1119,Student_1119,97,58
1120,Student_1120,78,78
1121,Student_1121,78,61
1122,Student_1122,65,78
1123,Student_1123,92,98
1124,Student_1124,54,88
1125,Student_1125,77,76
1126,Student_1126,82,53
1127,Student_1127,85,96
1128,Student_1128,50,53
1129,Student_1129,99,52
1130,Student_1130,85,74
1131,Student_1131,93,61
1132,Student_1132,54,50
1133,Student_1133,75,89
1134,Student_1134,83,55
1135,Student_1135,51,72
1136,Student_1136,99,76
1137,Student_1137,59,92
1138,Student_1138,67,84
1139,Student_1139,96,100
1140,Student_1140,51,72
1141,Student_1141,58,85
1142,Student_1142,52,55
1143,Student_1143,83,74
1144,Student_1144,83,56
1145,Student_1145,98,64
1146,Student_1146,73,79
1147,Student_1147,99,69
1148,Student_1148,95,62
1149,Student_1149,50,95
1150,Student_1150,52,51
1151,Student_1151,88,87
1152,Student_1152,96,83
1153,Student_1153,86,85
1154,Student_1154,100,74
1155,Student_1155,57,76
1156,Student_1156,97,94
1157,Student_1157,93,55
1158,Student_1158,92,79
1159,Student_1159,75,62
1160,Student_1160,88,94
1161,Student_1161,67,83
1162,Student_1162,72,99
1163,Student_1163,96,53
1164,Student_1164,74,83
1165,Student_1165,89,51
1166,Student_1166,54,62
1167,Student_1167,65,53
1168,Student_1168,63,55
1169,Student_1169,60,70
1170,Student_1170,95,74
1171,Student_1171,57,78
1172,Student_1172,90,69
1173,Student_1173,95,82
1174,Student_1174,78,65
1175,Student_1175,51,95
1176,Student_1176,81,79
1177,Student_1177,61,86
1178,Student_1178,70,50
1179,Student_1179,67,67
1180,Student_1180,63,78
1181,Student_1181,91,94
1182,Student_1182,78,77
1183,Student_1183,85,72
1184,Student_1184,83,60
1185,Student_1185,69,66
1186,Student_1186,63,50
1187,Student_1187,73,82
1188,Student_1188,56,62
1189,Student_1189,80,87
1190,Student_1190,86,85
1191,Student_1191,65,99
1192,Student_1192,94,100
1193,Student_1193,89,83
1194,Student_1194,58,77
1195,Student_1195,75,84
1196,Student_1196,79,99
1197,Student_1197,69,63
1198,Student_1198,70,86
1199,Student_1199,99,81
1200,Student_1200,55,68
1201,Student_1201,69,98
1202,Student_1202,83,91
1203,Student_1203,65,50
1204,Student_1204,70,86
1205,Student_1205,69,61
1206,Student_1206,90,97
1207,Student_1207,66,66
1208,Student_1208,89,63
1209,Student_1209,74,95
1210,Student_1210,99,90
1211,Student_1211,91,81
1212,Student_1212,95,85
1213,Student_1213,87,96
1214,Student_1214,70,74
1215,Student_1215,85,87
1216,Student_1216,98,66
1217,Student_1217,70,82
1218,Student_1218,72,63
1219,Student_1219,60,91
1220,Student_1220,85,59
1221,Student_1221,51,73
1222,Student_1222,97,93
1223,Student_1223,55,80
1224,Student_1224,53,95
1225,Student_1225,88,99
1226,Student_1226,54,72
1227,Student_1227,83,58
1228,Student_1228,84,100
1229,Student_1229,56,63
